No.,Nombre Unidad Recreativa,Escenarios Disponibles ,Direccion,Comuna,Cancha baloncesto,Cancha de tejo,Cancha de tenis,Cancha Futbol 5,Cancha Futbol 8,Cancha Futbol 11,Cancha Hockey,Cancha Multiple,Cancha Sintetica,Cancha Voleibol,Gimnasio,Juegos Biosaludables,Juegos Infantiles,Piscina adultos,Piscina Niños,Pista bicicros,Pista de trote,Pista patinaje,Kiosco,Sauna,Teatrino
252,Cancha Múltiple Ciudad Modelo,Cancha Múltiple,C 31 CON  K  41 Y 41A,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
253,Barrio Villa Del Sur,,K 28B CON C 46C ,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254, Polideportivo Prados De Oriente,Cancha Múltiple Cancha Baloncesto Juegos Infantiles Edificación,K 24A  CON C 28A Y 29,11,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
255,Polideportivo Recreativa Primavera,Cancha Futbol 5 Cancha Múltiple Juegos Infantiles,K 33A CON C 35 Y 35A,11,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
257,Cancha De Futbol La Bombonera,Cancha De Futbol 11 Cancha Baloncesto,K 36A CON C 29,11,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258,Kiosco 3° Edad Villa Del Sur ,Kiosco,C 26B CON K 42A,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
259,Kiosco 3° Edad San Benito,Kiosco,C 32 CON K 27,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
260,Unidad Recreativa Doce De Octubre,Cancha De Futbol 11 Cancha Sintética Cancha Baloncesto Pista Trote Piscina Niños Piscina Adultos Juegos Infantiles,C 50 CON K 28F,12,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0
261,Unidad Recreativa La Tortuga,Cancha Múltiple Piscina Niños Piscina Adultos,C 44 # 24C - 03,12,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
262,Parque Recreativo Alfonso Barberena,Cancha Múltiple Juegos Infantiles,K 25 CON C 33C,12,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
263,Parque Infantil Nueva Floresta,Kiosco Juegos Infantiles,K 25B # 57 - 04,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
264,Parque Infantil Juan Pablo II,Cancha Baloncesto Juegos Infantiles,K 26 #  51 - 04,12,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
265,Polideportivo El Trébol Barrio Nueva Floresta,Cancha De Futbol 11 Cancha Múltiple Pista Patinaje Juegos Infantiles,K 24A CON C  57 Y 59,12,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
266,Cancha Múltiple Barrio Nueva Floresta,Cancha Múltiple,C 59 CON K 25A,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
267,Polideportivo Barrio Sindical,Cancha Sintética Cancha Múltiple Pista Patinaje Juegos Infantiles,K 28C Y 28D CON C 44 Y 50,12,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0
268,Parque Recreativo Julio Rincon,Cancha Múltiple,C 54 CON K 28E,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
269,Cancha Múltiple Asturias,Cancha Múltiple,C 44 CON K 24B,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
270,Cancha De Futbol Fenalco Kenedy,Cancha De Futbol 11 Cancha Múltiple,K 25A Y 26 CON C 44 Y 49,12,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
271,Cancha Múltiple Ricardo Balcazar,Cancha Múltiple,D 71B CON K 26D Y 26J,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
272,Cancha Múltiple Nuevo Horizonte,Cancha Múltiple,T 28F CON C 72F S,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
273,Parque Recreativo Calipso I,Cancha Baloncesto,C 72 Y 72A CON K 28E,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
274,Parque Recreativo Calipso II,Cancha Futbol 5 Cancha Múltiple Pista Patinaje Pista Trote Juegos Infantiles,C 71 Y 72B CON K 28D 3,13,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0
275,Parque Recreativo El Laguito,Cancha De Futbol 11 Cancha Múltiple Juegos Infantiles,C 72F CON K 26H 2,13,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
276,Parque Recreativo La Hormiga Comuneros II,Cancha Futbol 5 Juegos Infantiles,C 74F 4 CON K 28D 2,13,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
277,Cancha Sintética Calipso III,Cancha Sintética,C 72H CON T 28E,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
278,Cancha De Baloncesto Calipso III,Cancha Baloncesto,C 72F 3 CON K 28D 3,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
279,Cancha De Futbol La Cero Comuneros II,Cancha De Futbol 11,C 72F Y 72H CON K 28A Y 28 - 3,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,Polideportivo Ulpiano Lloreda,Cancha De Futbol 11 Cancha Futbol 5 Cancha Múltiple,K 24 CON C 72,13,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
281,Polideportivo Barrio Carlos Lleras Restrepo,Cancha Baloncesto,C 72 CON K 26H,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
282,Polideportivo La Paz,Cancha De Futbol 11 (2) Cancha Múltiple (4),C 72P CON K 26L Y 27,13,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
283,Cancha Múltiple Los Lagos I,Cancha Múltiple Juegos Infantiles,C 72W CON K 26P,13,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
284,Cancha De Futbol Los Lagos II,Cancha De Futbol 11 Pista Trote,C 72P CON K 26I 1 Y 26J.,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
285,Cancha Múltiple Robles,Cancha Múltiple Juegos Infantiles,C 72L CON K 28D 3 T 28F,13,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
286,Parque Recreativo Villa Del Lago,Cancha De Futbol 11 Pista Trote,D 71A 1 CON K 25E Y 25G,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
287,Parque Recreativo El Pondaje,Cancha  Futbol 5 Cancha Múltiple Juegos Infantiles,C 71B CON K 28C,13,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
288,Parque Recreativo Ulpiano Lloreda,Cancha Múltiple Pista Trote Juegos Infantiles,C 72 CON K 26A Y 26B,13,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
289,Parque Recreativo Ricardo Balcazar,Cancha Múltiple Pista Patinaje Juegos Infantiles,D 70 CON C 26I,13,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
290,Cancha De Futbol Ricardo Balcazar,Cancha De Futbol 11 Cancha Múltiple,C 26L CON D 71C Y 72A,13,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
291,Cancha De Futbol Los Robles,Cancha Futbol 5,C 72T 1 CON K 28E,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
292,Cancha Múltiple Robles,Cancha Múltiple,C 72S CON K 28E 4,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
293,Cancha Múltiple Unik Poblado I,Cancha Múltiple,C 72O CON K 28I,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
294,Polideportivo Las Gemelas Poblado I,Cancha Sintética Cancha Múltiple Juegos Infantiles,C 72K Y 72M CON K 28H Y 28I,13,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
295,Cancha Múltiple Longitudinal Poblado II Sector Sena,Cancha Múltiple,C 72W CON K 28E 1 Y 28E 2,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
296,Cancha Múltiple Longitudinal Poblado II ,Cancha Múltiple,C 72W CON K 28A Y 28A 1,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
297,Cancha Múltiple El Poblado II,Cancha Múltiple Juegos Infantiles,C 72V CON K 28E,13,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
298,Parque Recreativo El Poblado II,Cancha Múltiple (2) Juegos Infantiles,K 28 - 1 CON C 72Z,13,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0
299,Polideportivo Marroquín III,Cancha De Futbol 11 Cancha Múltiple Cancha Baloncesto Pista Trote Juegos Infantiles,C 72P CON K 28M,13,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
300,Cancha Múltiple Yira Castro,Cancha Múltiple Juegos Infantiles,D 28D CON C 72F 1,13,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
301,Cancha Múltiple Charco Azul,Cancha Múltiple,C 72 U CON K 25O Y 25P,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
302,Cancha Múltiple Carcho Azul,Cancha Múltiple,C 72U CON K 25U,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
303,Cancha De Futbol Charco Azul,Cancha De Futbol 11,D 71A 1 CON K 24,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
304,Cancha De Futbol Villa Blanca,Cancha De Futbol 11,D 72F CON K 26L,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
305,Unidad Recreativa El Diamante,Cancha De Futbol 11 Cancha Futbol 5 Cancha Múltiple Piscina Niños Piscina Adultos,K 31 # 40 - 12,13,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
306,Unidad Recreativa El Poblado,Cancha Futbol 5 Cancha Múltiple,K 29C # 43A - 00,13,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
307,Unidad Recreativa Villa Del Lago,Cancha De Futbol 11 Cancha Futbol 5 Cancha Baloncesto Piscina Niños,D 71A 1 # 25C - 01,13,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
308,Centro Múltiple Comuneros II,Cancha Futbol 5 Cancha Baloncesto Juegos Infantiles,K 28A Y 28A 1 CON C 72T Y 72U,13,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
309,Parque Recreativo Gabriela Mistral,Cancha Múltiple Juegos Infantiles Pista Trote,C 95 Y 97 CON K 27D Y 27G,14,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
310,Parque Recreativo Puertas Del Sol I,Cancha Múltiple Cancha Baloncesto,C 80E CON K 26C,14,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
311,Polideportivo  Marroquín II,Cancha De Futbol 11 Cancha Múltiple,D 26i 2 T 87,14,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
312,Polideportivo Ciudadela Invicali,Cancha De Futbol 11 Cancha Múltiple Pista Trote Juegos Infantiles,C 116 CON K 26B 1 Y 26B 3,14,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
313,Polideportivo Los Naranjos II,Cancha De Futbol 11 Cancha Múltiple,C 84 CON K 26C,14,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
314,Centro Múltiple Adulto Mayor,Kiosco,D 26P 16 # 104 - 2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
315,Cancha De Futbol Puertas Del Sol  Sector I,Cancha De Futbol  11,C 84 K 26G Y 26F,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
316,Cancha De Futbol Puertas De Sol Iv,Cancha De Futbol 11,C 94 CON K 26,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
317,Cancha De Futbol 5 La Polvoreda,Cancha Futbol 5,K 26P Y 26T CON C 88 Y 91,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
318,Cancha De Futbol Manuela Beltrán,Cancha De Futbol 11,C 116 CON K 28I,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
319,Unidad Recreativa Manuela Beltrán,Cancha De Futbol 11 Piscina Niños Piscina Adultos,K 26O Y 26S C 116,14,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
320,Unidad Recreativa Promoción Popular Barrio Puertas De Sol V,Cancha De Futbol 11 Cancha Sintética Cancha Múltiple Cancha Minibaloncesto Pista Trote Juegos Infantiles Piscina Niños Piscina Adultos,K 26G CON D 108,14,1,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0
321,Parque Recreativo Los Naranjos I,Cancha Múltiple Juegos Infantiles Pista Trote,C 75 CON 26G 3,14,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
322,Parque Recreativo La Candelaria Barrio Alfonso Bonilla Aragón,Cancha Múltiple Juegos Infantiles,C 78A Y 81 CON K 27B Y 27C,14,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
323,Cancha Múltiple Los Naranjos II,Cancha Múltiple Juegos Infantiles,C 80D 1 K 26D,14,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
324,Cancha Múltiple CAI Barrio Alfonso Bonilla Aragón,Cancha Múltiple Juegos Infantiles,T 103 CON K 28 Y 28E ,14,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
325,Cancha Múltiple Puertas De Sol 5,Cancha Múltiple Juegos Infantiles,C 91 CON K 26D,14,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
326,Coliseo Multifuncional Los Naranjos,,C 80 CON  T 103,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
327,Cancha Múltiple Interavenidas,Cancha Múltiple Juegos Infantiles,T 103 CON D 26P 16,14,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
328,Cancha Múltiple San Marcos,Cancha Múltiple,C 87 Y 89 CON K 26C,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
329,Cancha Múltiple Quintas Del Sol,Cancha Múltiple,C 80 CON K 26,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
330,Cancha Sintética Los Naranjos II,Cancha Sintética,C 80 CON K 26D,14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
331,Cancha Múltiple Manuela Beltrán,Cancha Múltiple (2),C 112 CON K 28C,14,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
332,Parque Recreativo Ciudadela San Marcos,Cancha Múltiple Juegos Infantiles,C 90 CON K26G Y 26G 3,14,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
333,Parque Recreativo Nuestra Señora Aguablanca Barrio Manuela Beltrán,Cancha Múltiple Juegos Infantiles,C 110 CON K 28H 1,14,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
334,La Bombonera Villa De San Marcos,,C 97 CON K 26,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
335,Polideportivo Villa San Marcos ,Cancha Múltiple Cancha Baloncesto,C 96 Y 99 CON K 26G,14,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
336,Polideportivo Pilar Tairona II,Cancha Múltiple  Pista Trote Pista Patinaje Juegos Infantiles,K 28D # 85 - 15,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
337,Puertas Del Sol IV,,K 26 CON D 108,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
338,Cancha De Futbol La Libertad Alfonso Bonilla Aragón,Cancha De Futbol 11 Cancha Múltiple Juegos Infantiles,C 86 Y 90 CON K 27B Y 27D,14,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
339,Parque Recreativo Los Mangos Barrio Alfonso Bonilla Aragón,Cancha Futbol 8 Cancha Futbol 5 Cancha Múltiple Juegos Infantiles,C 93 Y 95 CON K 28 Y 28 - 3,14,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
340,Cancha De Futbol Alfonso Bonilla Aragón Sector Caney,Cancha De Futbol 11 Cancha Múltiple Juegos Infantiles,C 75 CON K 26S Y 26U,14,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
341,Polideportivo Las Orquídeas,Cancha Futbol 5 Cancha Múltiple (2) Juegos Infantiles,C 109 CON K 27D,14,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0
342,Polideportivo Alirio Mora Beltrán,Cancha De Futbol 11 Cancha Múltiple,C 79 Y 80 CON K 26,14,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
343,Polideportivo Los Naranjos I,Cancha De Futbol 11 Cancha Múltiple Juegos Infantiles,C 76  Y 77 CON K26G 3,14,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
